
"03/07/2020 13:47:15"
"Observation"	"CO2B um/m"	"Integral"	"Peak"
1	5.09	0	0
2	5.04	0	0
3	4.91	0	0
4	4.83	0	0
5	4.72	0	0
6	4.66	0	0
7	4.73	0	0
8	4.96	0	0
9	5.08	0	0
10	4.94	0	0
11	4.75	0	0
12	4.60	0	0
13	4.67	0	0
14	4.75	0	0
15	4.96	0	0
16	5.06	0	0
17	4.94	0	0
18	5.05	0	0
19	5.00	0	0
20	4.87	0	0
21	4.83	0	0
22	4.74	0	0
23	4.58	0	0
24	4.63	0	0
25	4.58	0	0
26	4.60	0	0
27	4.52	0	0
28	4.61	0	0
29	4.54	0	0
30	4.50	0	0
31	4.60	0	0
32	4.64	0	0
33	4.65	0	0
34	4.60	0	0
35	4.89	0	0
36	4.95	0	0
37	4.80	0	0
38	4.59	0	0
39	5.12	0	0
40	5.31	0	0
41	5.35	0	0
42	5.35	0	0
43	5.73	0	0
44	6.24	0	0
45	6.95	0	0
46	7.23	0	0
47	7.89	0	0
48	9.09	0	0
49	10.84	0	0
50	12.69	0	0
51	14.74	0	0
52	18.30	0	0
53	23.22	0	0
54	30.04	0	0
55	44.45	0	0
56	68.24	0	0
57	95.90	0	0
58	122.90	0	0
59	150.76	0	0
60	163.24	0	0
61	165.27	0	0
62	166.31	0	0
63	167.10	0	0
64	167.77	0	0
65	167.80	0	0
66	167.65	0	0
67	167.60	0	0
68	167.95	0	0
69	167.90	0	0
70	166.41	0	0
71	163.12	0	0
72	159.16	0	0
73	154.54	0	0
74	149.52	0	0
75	145.34	0	0
76	140.90	0	0
77	136.15	0	0
78	132.20	0	0
79	128.26	0	0
80	123.96	0	0
81	120.08	0	0
82	116.58	0	0
83	112.63	0	0
84	108.99	0	0
85	104.89	0	0
86	101.58	0	0
87	98.30	0	0
88	94.75	0	0
89	91.15	0	0
90	87.86	0	0
91	84.87	0	0
92	82.04	0	0
93	79.19	0	0
94	75.96	0	0
95	72.94	0	0
96	70.36	0	0
97	68.13	0	0
98	65.13	0	0
99	62.68	0	0
100	60.62	0	0
101	58.09	0	0
102	55.70	0	0
103	54.01	0	0
104	51.69	0	0
105	49.52	0	0
106	47.63	0	0
107	45.89	0	0
108	44.18	0	0
109	42.42	0	0
110	40.72	0	0
111	39.11	0	0
112	37.68	0	0
113	36.38	0	0
114	34.86	0	0
115	33.81	0	0
116	32.64	0	0
117	31.45	0	0
118	30.15	0	0
119	28.69	0	0
120	28.03	0	0
121	27.02	0	0
122	26.06	0	0
123	24.75	0	0
124	24.25	0	0
125	23.38	0	0
126	22.21	0	0
127	21.80	0	0
128	20.98	0	0
129	20.14	0	0
130	19.30	0	0
131	18.72	0	0
132	18.36	0	0
133	17.66	0	0
134	16.92	0	0
135	16.83	0	0
136	15.96	0	0
137	15.48	0	0
138	15.18	0	0
139	14.44	0	0
140	14.15	0	0
141	14.17	0	0
142	13.51	0	0
143	12.91	0	0
144	12.94	0	0
145	12.23	0	0
146	12.20	0	0
147	12.02	0	0
148	11.27	0	0
149	11.18	0	0
150	11.18	0	0
151	10.72	0	0
152	10.40	0	0
153	10.07	0	0
154	9.88	0	0
155	9.64	0	0
156	9.46	0	0
157	9.39	0	0
158	9.32	0	0
159	9.16	0	0
160	8.72	0	0
161	8.68	0	0
162	8.80	0	0
163	8.35	0	0
164	8.27	0	0
165	8.30	0	0
166	8.06	0	0
167	7.73	0	0
168	8.19	0	0
169	7.69	0	0
170	7.52	0	0
171	7.79	0	0
172	7.22	0	0
173	7.39	0	0
174	7.20	0	0
175	7.14	0	0
176	7.22	0	0
177	6.92	0	0
178	7.15	0	0
179	6.80	0	0
180	7.15	0	0
181	6.66	0	0
182	6.79	0	0
183	6.85	0	0
184	6.50	0	0
185	6.65	0	0
186	6.77	0	0
187	6.46	0	0
188	6.37	0	0
189	6.56	0	0
190	6.64	0	0
191	6.45	0	0
192	6.21	0	0
193	6.14	0	0
194	6.42	0	0
195	6.42	0	0
196	6.06	0	0
197	6.40	0	0
198	6.38	0	0
199	6.04	0	0
200	6.31	0	0
201	6.23	0	0
202	6.16	0	0
203	6.23	0	0
204	5.97	0	0
205	6.18	0	0
206	6.13	0	0
207	6.12	0	0
208	5.92	0	0
209	6.21	0	0
210	5.96	0	0
211	6.26	0	0
212	5.92	0	0
213	5.93	0	0
214	5.98	0	0
215	6.27	0	0
216	5.97	0	0
217	6.09	0	0
218	6.12	0	0
219	6.18	0	0
220	6.00	0	0
221	6.26	0	0
222	5.86	0	0
223	6.23	0	0
224	5.89	0	0
225	6.18	0	0
226	5.98	0	0
227	6.18	0	0
228	6.02	0	0
229	6.05	0	0
230	6.17	0	0
231	5.88	0	0
232	6.23	0	0
233	6.04	0	0
234	6.30	0	0
235	5.92	0	0
236	6.33	0	0
237	5.91	0	0
238	6.35	0	0
239	5.87	0	0
240	6.36	0	0
241	6.07	0	0
242	6.02	0	0
243	6.39	0	0
244	6.12	0	0
245	6.09	0	0
246	6.38	0	0
247	6.15	0	0
248	6.63	0	0
249	6.34	0	0
250	6.12	0	0
251	6.33	0	0
252	6.58	0	0
253	6.59	0	0
254	6.51	0	0
255	6.43	0	0
256	6.22	0	0
257	6.23	0	0
258	6.36	0	0
259	6.58	0	0
260	6.62	0	0
261	6.56	0	0
262	6.21	0	0
263	6.34	0	0
264	6.44	0	0
265	6.55	0	0
266	6.62	0	0
267	6.67	0	0
268	6.57	0	0
269	6.65	0	0
270	6.57	0	0
271	6.27	0	0
272	6.24	0	0
273	6.79	0	0
274	6.25	0	0
275	6.69	0	0
276	6.56	0	0
277	6.30	0	0
278	6.25	0	0
279	6.66	0	0
280	6.33	0	0
281	6.72	0	0
282	6.52	0	0
283	6.43	0	0
284	6.28	0	0
285	6.57	0	0
286	6.59	0	0
287	6.68	0	0
288	6.54	0	0
289	6.39	0	0
290	6.19	0	0
291	6.25	0	0
292	6.23	0	0
293	6.37	0	0
294	6.46	0	0
295	6.55	0	0
296	6.35	0	0
297	6.46	0	0
298	6.39	0	0
299	6.54	0	0
300	6.64	0	0
301	6.62	0	0
302	6.65	0	0
303	6.57	0	0
304	6.58	0	0
305	6.66	0	0
306	6.70	0	0
307	6.63	0	0
308	6.45	0	0
309	6.33	0	0
310	6.36	0	0
311	6.32	0	0
312	6.31	0	0
313	6.36	0	0
314	6.36	0	0
315	6.55	0	0
316	6.58	0	0
317	6.76	0	0
318	6.79	0	0
319	6.80	0	0
320	6.81	0	0
321	6.76	0	0
322	6.44	0	0
323	6.37	0	0
324	6.50	0	0
325	6.47	0	0
326	6.53	0	0
327	6.50	0	0
328	6.38	0	0
329	6.12	0	0
330	6.17	0	0
331	6.35	0	0
332	6.22	0	0
333	6.47	0	0
334	6.21	0	0
335	6.19	0	0
336	6.41	0	0
337	6.30	0	0
338	6.13	0	0
339	6.53	0	0
340	6.09	0	0
341	6.42	0	0
