
"06/07/2020 10:35:35"
"Time"	"CO2B um/m"	"H2OB mm/m"	"T C"	"P kPa"
2020-07-06 10:35:35	17.63	1.740	27.540	101.025
2020-07-06 10:35:35	17.54	1.742	27.539	101.027
2020-07-06 10:35:36	17.46	1.742	27.538	101.023
2020-07-06 10:35:36	17.35	1.738	27.539	101.028
2020-07-06 10:35:37	17.27	1.737	27.539	101.025
2020-07-06 10:35:37	17.16	1.738	27.539	101.024
2020-07-06 10:35:38	17.08	1.736	27.540	101.027
2020-07-06 10:35:38	17.02	1.735	27.539	101.026
2020-07-06 10:35:39	16.92	1.733	27.540	101.027
2020-07-06 10:35:39	16.82	1.730	27.540	101.026
2020-07-06 10:35:40	16.73	1.728	27.540	101.024
2020-07-06 10:35:40	16.65	1.728	27.540	101.026
2020-07-06 10:35:41	16.55	1.728	27.540	101.025
2020-07-06 10:35:41	16.45	1.727	27.539	101.027
2020-07-06 10:35:42	16.37	1.727	27.539	101.024
2020-07-06 10:35:42	16.29	1.721	27.540	101.023
2020-07-06 10:35:43	16.21	1.722	27.539	101.025
2020-07-06 10:35:43	16.12	1.720	27.539	101.026
2020-07-06 10:35:44	16.03	1.717	27.538	101.025
2020-07-06 10:35:44	15.98	1.717	27.538	101.025
2020-07-06 10:35:45	15.87	1.717	27.539	101.028
2020-07-06 10:35:45	15.82	1.714	27.539	101.029
2020-07-06 10:35:46	15.73	1.713	27.539	101.028
2020-07-06 10:35:46	15.62	1.709	27.539	101.027
2020-07-06 10:35:47	15.57	1.708	27.539	101.028
2020-07-06 10:35:47	15.47	1.707	27.541	101.029
2020-07-06 10:35:48	15.40	1.704	27.540	101.028
2020-07-06 10:35:48	15.30	1.703	27.540	101.027
2020-07-06 10:35:49	15.25	1.704	27.540	101.025
2020-07-06 10:35:49	15.17	1.702	27.542	101.026
2020-07-06 10:35:50	15.12	1.702	27.542	101.030
2020-07-06 10:35:50	15.03	1.698	27.541	101.029
2020-07-06 10:35:51	14.94	1.697	27.542	101.027
2020-07-06 10:35:51	14.89	1.696	27.541	101.026
2020-07-06 10:35:52	14.81	1.695	27.540	101.026
2020-07-06 10:35:52	14.73	1.692	27.542	101.025
2020-07-06 10:35:53	14.66	1.693	27.542	101.027
2020-07-06 10:35:53	14.59	1.691	27.542	101.026
2020-07-06 10:35:54	14.54	1.689	27.541	101.029
2020-07-06 10:35:54	14.47	1.686	27.541	101.028
2020-07-06 10:35:55	14.39	1.685	27.542	101.025
2020-07-06 10:35:55	14.33	1.687	27.542	101.027
2020-07-06 10:35:56	14.26	1.685	27.543	101.028
2020-07-06 10:35:56	14.20	1.683	27.542	101.030
2020-07-06 10:35:57	14.14	1.683	27.542	101.027
2020-07-06 10:35:57	14.04	1.683	27.541	101.027
2020-07-06 10:35:58	14.00	1.682	27.542	101.030
2020-07-06 10:35:58	13.93	1.678	27.542	101.030
2020-07-06 10:35:59	13.87	1.677	27.542	101.030
2020-07-06 10:35:59	13.80	1.676	27.542	101.027
2020-07-06 10:36:00	13.73	1.677	27.543	101.026
2020-07-06 10:36:00	13.67	1.674	27.542	101.028
2020-07-06 10:36:01	13.62	1.670	27.542	101.028
2020-07-06 10:36:01	13.56	1.671	27.545	101.027
2020-07-06 10:36:02	13.51	1.669	27.544	101.027
2020-07-06 10:36:02	13.43	1.665	27.544	101.025
2020-07-06 10:36:03	13.36	1.664	27.542	101.027
2020-07-06 10:36:03	13.33	1.663	27.543	101.026
2020-07-06 10:36:04	13.26	1.662	27.543	101.025
2020-07-06 10:36:04	13.20	1.661	27.544	101.026
2020-07-06 10:36:05	13.16	1.661	27.545	101.029
2020-07-06 10:36:05	13.09	1.658	27.545	101.027
2020-07-06 10:36:06	13.05	1.657	27.545	101.027
2020-07-06 10:36:06	12.97	1.657	27.544	101.026
2020-07-06 10:36:07	12.91	1.656	27.544	101.026
2020-07-06 10:36:07	12.86	1.654	27.544	101.026
2020-07-06 10:36:08	12.82	1.653	27.546	101.027
2020-07-06 10:36:08	12.75	1.652	27.546	101.027
2020-07-06 10:36:09	12.69	1.651	27.545	101.026
2020-07-06 10:36:09	12.62	1.651	27.546	101.027
2020-07-06 10:36:10	12.57	1.651	27.546	101.027
2020-07-06 10:36:10	12.55	1.648	27.547	101.028
2020-07-06 10:36:11	12.47	1.646	27.546	101.025
2020-07-06 10:36:11	12.41	1.644	27.546	101.028
2020-07-06 10:36:12	12.37	1.640	27.548	101.027
2020-07-06 10:36:12	12.33	1.641	27.547	101.027
2020-07-06 10:36:13	12.26	1.638	27.548	101.027
